row_id,id,event_date,firearm_name,range_name,rounds_fired,ammo_description,notes,created,modified
269,01KWG95NT2MMP0BXAH35QK8NGK,2019-08-10 20:05:22.1141842,G17,Phoenix,250,124gr CamPro; 4.5gr HP-38,IPSC target. Mostly 18 yards for accuracy (A-zone hits). Also practices shooting controlled pairs as fast as possible in the A-Zone.,2026-07-02 02:05:22.1149749+00:00,2026-07-02 02:05:22.1149766+00:00
270,01KWG95NT4ZJ34V7CBC6Y6N6WC,2019-08-22 20:05:22.1151962,G41,Phoenix,100,"200gr Hornady, 6.5gr HP-38","Shooting at 15', 30' and then 55'.  Seemed to be accurate.",2026-07-02 02:05:22.1161198+00:00,2026-07-02 02:05:22.1161215+00:00
271,01KWG95NT578C59SYJ3Z3FTCH6,2019-08-22 20:05:22.1163962,G41,Phoenix,50,"230gr CamPro, 6.0gr 800-X","Shooting at 55'. Deliberate shots were mostly A-Zone.Controlled pairs had one shot in the A, the other in the C or D.",2026-07-02 02:05:22.1177405+00:00,2026-07-02 02:05:22.1177424+00:00
272,01KWG95NT7S3WER68W6CRK0T2Y,2019-08-24 20:05:22.1180186,Remington 597,SPFGA,49,Sterling Cross,ORPS match,2026-07-02 02:05:22.1190491+00:00,2026-07-02 02:05:22.119051+00:00
273,01KWG95NT7S3WER68W6CRK0T36,2019-08-24 20:05:22.1192921,RPRimfire,SPFGA,75,Sterling Cross,No failure to extract. Rezored at 50m. Shot from the prone as as well with the Magpul MLok bipod,2026-07-02 02:05:22.1196342+00:00,2026-07-02 02:05:22.1196358+00:00
274,01KWG95NT8HDE0ZZCMH8BD3798,2019-08-24 20:05:22.1198525,Remington 597,SPFGA,40,Sterling Cross,Rezeroed at 50m,2026-07-02 02:05:22.1208239+00:00,2026-07-02 02:05:22.1208256+00:00
275,01KWG95NT9YF86F0GF1DJ35Z9D,2019-08-25 20:05:22.121067,RPRimfire,CHAS,20,Sterling Cross,"20 rnds, collecting velocity",2026-07-02 02:05:22.1214285+00:00,2026-07-02 02:05:22.1214301+00:00
276,01KWG95NTA0TM4BSPQDV61M38V,2019-08-25 20:05:22.1216538,RPRimfire,CHAS,40,Winchester M22,Collecting velocity,2026-07-02 02:05:22.1220405+00:00,2026-07-02 02:05:22.1220421+00:00
277,01KWG95NTA0TM4BSPQDV61M393,2019-08-25 20:05:22.1222494,GSG STG-44,CHAS,110,Winchester M22,Trying out M22 at 50m.,2026-07-02 02:05:22.1226611+00:00,2026-07-02 02:05:22.1226627+00:00
278,01KWG95NTCYE1Q9S8Q5T4971QR,2019-08-25 20:05:22.1231839,Israeli 98k,CHAS,9,"150 Sierra SPT, 49gr IMR4895",Collecting velocity,2026-07-02 02:05:22.1241979+00:00,2026-07-02 02:05:22.1242005+00:00
